url,channel,start,end,emotion,transcript,loudness,audio_duration,language-detection_roberta-base-model,language-detection_lang-dect-model
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e108231e92d84eec86875230aa3117bf.mp3,Mono_Left,2.3853989813242786,5.71307300509338,surprise,Hello. क्या मैं अंकित से बात कर?,-24.075614767665808,34.11975,hi,hi
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e108231e92d84eec86875230aa3117bf.mp3,Mono_Left,8.412563667232599,19.83870967741936,surprise,"जी, मेरा नाम जो area है और dot com से बोल रही हूं. Sir, मैंने आपसे कुछ दिन पहले बात की थी आपके online order के बारे में. क्या मैं जान सकती हूं अगर आपने order place कर दिया है sir या नहीं?",-23.956816450156023,34.11975,hi,hi
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e108231e92d84eec86875230aa3117bf.mp3,Mono_Left,21.91001697792869,26.816638370118845,angry,"आपने कर दिया, ठीक है. आपको order confirmation का WhatsApp message और email भी आ गया है, right sir?",-24.165178630768946,34.11975,hi,en
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e108231e92d84eec86875230aa3117bf.mp3,Mono_Left,28.2427843803056,32.14770797962649,surprise,"Ok, great sir. Disconnect के साथ order place करने के लिए सकती हूं. आपका",-26.165798743501686,34.11975,hi,hi
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e108231e92d84eec86875230aa3117bf.mp3,Mono_Right,7.071307300509337,7.8013582342954155,angry,हां बोलिए.,-32.124606879315245,34.11975,hi,hi
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e108231e92d84eec86875230aa3117bf.mp3,Mono_Right,12.640067911714771,13.285229202037351,happy,,-46.04665617894211,34.11975,na,na
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e108231e92d84eec86875230aa3117bf.mp3,Mono_Right,20.161290322580648,21.36672325976231,surprise,,-30.920212688374097,34.11975,na,na
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Left,2.7079796264855687,7.8013582342954155,surprise,Hello. Hello good evening. मेरी बात प्रीति बेनीवाल से हो रही है?,-25.395543233806784,75.84,hi,hi
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Left,9.872665534804755,17.03735144312394,surprise,"जी ma'am, good evening. मेरा नाम जुबेला है और मैं Disant dot com की ओर से call कर रही हूं. Ma'am आपने Disant dot com.",-25.787030387526574,75.84,hi,na
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Left,18.276740237691,24.745331069609506,surprise,"Ma'am, आपने हमारे साथ पहले shopping की है और मैं आपको हमारे दीवाली offer के बारे में बताने के लिए call कर रही हूं. क्या यह सही",-26.028780662676777,75.84,hi,hi
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Left,28.259762308998305,30.67062818336163,surprise,,-28.729161290072685,75.84,na,na
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Left,31.943972835314092,44.45670628183362,surprise,Understand but you are running a very exciting discount ma'am. तो आपको ना 60 percent तक का हमारे जो top product है ना ताकि उसमें ना आपको 60 percent तक के discount में खरीदने का chance मिलेगा.,-25.978301578481194,75.84,hi,en
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Left,50.840407470288625,56.08658743633277,surprise,"Ma'am, ok, but this is the unlimited time offer, like, after दीवाली season only.",-24.370689778765843,75.84,en,en
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Left,59.26146010186757,64.66044142614601,angry,"So you, so ma'am you you are saying that you look into it after दीवाली only.",-23.500489624256574,75.84,en,en
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Left,66.25636672325976,70.63667232597624,surprise,Alright? Ma'am I understand ma'am but you will not have requirement as of now.,-26.76796336385473,75.84,en,en
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Right,0.9762308998302207,1.4855687606112054,angry,Hello.,-18.296863820217894,75.84,en,na
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Right,3.1494057724957556,4.643463497453311,angry,Hello. हां.,-18.919781749727257,75.84,hi,na
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Right,5.848896434634975,6.375212224108658,angry,Hello.,-16.171364763116063,75.84,en,na
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Right,8.531409168081495,9.074702886247879,angry,हां जी.,-18.279762995568735,75.84,hi,hi
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Right,14.915110356536504,15.560271646859084,angry,किधर से?,-18.772359069935046,75.84,hi,hi
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Right,23.573853989813244,28.056027164685908,surprise,अभी तो नहीं चाहिए कुछ भी please thank you so much I am really busy right now.,-20.74601658631214,75.84,hi,en
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Right,29.617996604414266,33.37011884550085,angry,"Wrong time, wrong time. क्या बोल रहे हैं?",-22.717522807012294,75.84,hi,en
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Right,42.945670628183365,50.19524617996604,angry,अभी तो मेरा time ही नहीं है देखने का अभी तो order it.,-22.708288177727553,75.84,hi,hi
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Right,54.7962648556876,58.87096774193549,angry,I don't mind it's ok. अभी मैं क्या करूं आप बताओ?,-25.85941674347254,75.84,hi,hi
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/14a95e0c4474ef770234b20a9a5f17b9.mp3,Mono_Right,70.17826825127335,74.7453310696095,angry,Listen please I cannot do right now thank you so,-21.766524512898798,75.84,en,en
